DEL NORTE 2E	maxt	mint	pcpn	snow
2015-01-01	22	3	T	0.1
2015-01-02	22	2	0.15	2.4
2015-01-03	21	-0	0.00	0.0
2015-01-04	32	-0	0.00	0.0
2015-01-05	29	4	0.00	0.0
2015-01-06	31	13	0.00	0.0
2015-01-07	41	16	0.00	0.0
2015-01-08	43	12	0.00	0.0
2015-01-09	37	12	0.00	0.0
2015-01-10	34	11	0.00	0.0
2015-01-11	24	17	0.00	0.0
2015-01-12	26	18	0.10	2.1
2015-01-13	33	20	T	0.2
2015-01-14	33	23	0.03	0.6
2015-01-15	34	10	0.00	0.0
2015-01-16	35	9	0.00	0.0
2015-01-17	34	10	0.00	0.0
2015-01-18	41	8	0.00	0.0
2015-01-19	41	12	0.00	0.0
2015-01-20	40	14	0.00	0.0
2015-01-21	35	5	0.00	0.0
2015-01-22	25	-0	0.06	2.3
2015-01-23	28	2	0.00	0.0
2015-01-24	29	6	0.00	0.0
2015-01-25	44	13	0.00	0.0
2015-01-26	43	15	0.00	0.0
2015-01-27	45	M	0.00	0.0
2015-01-28	47	21	0.00	0.0
2015-01-29	47	26	0.00	0.0
2015-01-30	41	29	0.09	1.2
2015-01-31	34	28	0.01	0.1
2015-02-01	37	19	T	T
2015-02-02	43	17	0.00	0.0
2015-02-03	43	16	0.00	0.0
2015-02-04	45	22	0.00	0.0
2015-02-05	51	21	0.00	0.0
2015-02-06	49	18	0.00	0.0
2015-02-07	50	19	0.00	0.0
2015-02-08	55	25	0.00	0.0
2015-02-09	57	25	0.00	0.0
2015-02-10	55	24	0.00	0.0
2015-02-11	54	27	0.15	2.1
2015-02-12	44	23	T	T
2015-02-13	47	24	0.00	0.0
2015-02-14	54	25	0.00	0.0
2015-02-15	55	28	0.00	0.0
2015-02-16	52	19	T	T
2015-02-17	36	10	0.04	0.7
2015-02-18	38	10	0.00	0.0
2015-02-19	47	16	0.00	0.0
2015-02-20	54	23	0.00	0.0
2015-02-21	55	18	0.00	0.0
2015-02-22	37	21	0.05	0.7
2015-02-23	38	15	0.89	11.6
2015-02-24	26	8	0.09	1.3
2015-02-25	31	4	0.00	0.0
2015-02-26	30	6	0.01	0.2
2015-02-27	30	6	0.06	1.3
2015-02-28	30	6	T	T
2015-03-01	28	16	0.04	0.9
2015-03-02	36	20	0.12	1.2
2015-03-03	45	23	0.11	0.1
2015-03-04	39	13	0.00	0.0
2015-03-05	35	8	0.00	0.0
2015-03-06	33	10	0.00	0.0
2015-03-07	42	16	0.00	0.0
2015-03-08	46	21	0.00	0.0
2015-03-09	49	23	0.00	0.0
2015-03-10	48	24	0.00	0.0
2015-03-11	52	26	0.00	0.0
2015-03-12	54	28	0.00	0.0
2015-03-13	56	32	0.00	0.0
2015-03-14	52	29	0.02	0.0
2015-03-15	57	29	0.00	0.0
2015-03-16	64	30	0.00	0.0
2015-03-17	66	31	0.00	0.0
2015-03-18	60	32	0.00	0.0
2015-03-19	61	34	0.10	0.0
2015-03-20	50	29	0.36	0.8
2015-03-21	54	29	0.00	0.0
2015-03-22	58	31	0.00	0.0
2015-03-23	64	31	0.00	0.0
2015-03-24	59	28	0.00	0.0
2015-03-25	59	27	0.00	0.0
2015-03-26	50	20	0.00	0.0
2015-03-27	60	21	0.00	0.0
2015-03-28	67	33	0.00	0.0
2015-03-29	70	35	0.00	0.0
2015-03-30	69	35	0.00	0.0
2015-03-31	68	32	0.00	0.0
2015-04-01	67	31	0.00	0.0
2015-04-02	64	31	0.00	0.0
2015-04-03	58	21	0.00	0.0
2015-04-04	53	19	0.00	0.0
2015-04-05	60	19	0.00	0.0
2015-04-06	63	29	0.00	0.0
2015-04-07	63	32	0.00	0.0
2015-04-08	61	31	0.00	0.0
2015-04-09	58	27	0.00	0.0
2015-04-10	55	25	0.00	0.0
2015-04-11	61	28	0.00	0.0
2015-04-12	61	28	0.00	0.0
2015-04-13	64	32	0.00	0.0
2015-04-14	66	28	0.00	0.0
2015-04-15	65	28	T	0.0
2015-04-16	52	28	0.00	0.0
2015-04-17	55	24	0.24	1.5
2015-04-18	42	21	T	T
2015-04-19	45	23	0.00	0.0
2015-04-20	57	24	T	0.0
2015-04-21	61	30	T	0.0
2015-04-22	61	27	0.00	0.0
2015-04-23	59	30	0.00	0.0
2015-04-24	63	34	0.00	0.0
2015-04-25	58	29	0.00	0.0
2015-04-26	58	27	0.00	0.0
2015-04-27	49	32	0.55	1.2
2015-04-28	54	28	0.00	0.0
2015-04-29	58	31	0.00	0.0
2015-04-30	68	38	0.00	0.0
2015-05-01	70	39	0.00	0.0
2015-05-02	70	37	0.01	0.0
2015-05-03	66	35	0.01	0.0
2015-05-04	66	36	0.01	0.0
2015-05-05	62	40	0.21	0.0
2015-05-06	48	36	0.28	0.0
2015-05-07	61	34	T	0.0
2015-05-08	62	35	0.00	0.0
2015-05-09	63	31	T	0.0
2015-05-10	47	32	0.03	0.0
2015-05-11	56	30	0.28	0.7
2015-05-12	59	33	0.00	0.0
2015-05-13	65	40	0.03	0.0
2015-05-14	65	38	0.00	0.0
2015-05-15	64	36	0.02	0.0
2015-05-16	53	29	T	0.0
2015-05-17	55	31	0.02	0.0
2015-05-18	61	34	0.02	0.0
2015-05-19	67	34	1.00	0.0
2015-05-20	56	32	0.05	0.0
2015-05-21	62	34	0.00	0.0
2015-05-22	60	37	0.04	0.0
2015-05-23	61	35	0.02	0.0
2015-05-24	58	39	T	0.0
2015-05-25	53	33	0.26	0.0
2015-05-26	64	35	0.01	0.0
2015-05-27	64	33	0.01	0.0
2015-05-28	69	40	0.00	0.0
2015-05-29	67	36	0.00	0.0
2015-05-30	66	35	0.03	0.0
2015-05-31	70	35	0.00	0.0
2015-06-01	75	44	T	0.0
2015-06-02	76	38	T	0.0
2015-06-03	78	41	0.00	0.0
2015-06-04	78	38	0.00	0.0
2015-06-05	78	38	0.00	0.0
2015-06-06	68	46	0.02	0.0
2015-06-07	71	39	0.03	0.0
2015-06-08	73	37	0.03	0.0
2015-06-09	76	45	0.00	0.0
2015-06-10	79	45	0.01	0.0
2015-06-11	72	45	0.08	0.0
2015-06-12	76	43	0.00	0.0
2015-06-13	70	44	0.01	0.0
2015-06-14	72	44	0.00	0.0
2015-06-15	77	42	0.02	0.0
2015-06-16	77	42	0.05	0.0
2015-06-17	68	47	0.20	0.0
2015-06-18	75	47	0.00	0.0
2015-06-19	83	45	T	0.0
2015-06-20	86	52	0.00	0.0
2015-06-21	87	49	0.00	0.0
2015-06-22	90	50	0.00	0.0
2015-06-23	92	50	0.00	0.0
2015-06-24	86	50	T	0.0
2015-06-25	81	49	0.00	0.0
2015-06-26	83	49	0.00	0.0
2015-06-27	82	49	0.26	0.0
2015-06-28	82	49	0.03	0.0
2015-06-29	82	49	0.03	0.0
2015-06-30	80	50	0.00	0.0
2015-07-01	85	53	0.04	0.0
2015-07-02	84	54	0.03	0.0
2015-07-03	84	48	0.05	0.0
2015-07-04	77	49	0.02	0.0
2015-07-05	79	51	T	0.0
2015-07-06	79	50	0.12	0.0
2015-07-07	77	53	0.21	0.0
2015-07-08	77	46	0.03	0.0
2015-07-09	67	43	0.04	0.0
2015-07-10	69	44	0.07	0.0
2015-07-11	76	47	0.00	0.0
2015-07-12	80	47	0.00	0.0
2015-07-13	81	47	0.00	0.0
2015-07-14	81	47	0.01	0.0
2015-07-15	71	48	0.04	0.0
2015-07-16	73	47	0.02	0.0
2015-07-17	77	46	0.00	0.0
2015-07-18	74	47	0.10	0.0
2015-07-19	77	47	0.26	0.0
2015-07-20	71	51	0.02	0.0
2015-07-21	69	54	0.32	0.0
2015-07-22	79	47	0.00	0.0
